"nwspol_log","intuse_log"
3.32192809488736,5.90689059560852
NA,NA
NA,NA
4.32192809488736,5.90689059560852
4.90689059560852,8.07681559705083
6.12928301694497,6.90689059560852
NA,NA
3.32192809488736,5.49185309632967
NA,NA
NA,NA
4.90689059560852,5.90689059560852
5.32192809488736,8.90689059560852
6.49185309632967,6.90689059560852
3.32192809488736,7.22881869049588
NA,NA
4.90689059560852,5.90689059560852
3.90689059560852,5.49185309632967
3.32192809488736,8.07681559705083
8.45121111183233,8.07681559705083
4.32192809488736,6.49185309632967
7.90689059560852,6.90689059560852
5.49185309632967,5.90689059560852
NA,NA
5.12928301694497,5.90689059560852
5.49185309632967,9.07681559705083
3.90689059560852,5.90689059560852
3.32192809488736,8.22881869049588
5.90689059560852,7.22881869049588
4.32192809488736,6.32192809488736
NA,NA
4.90689059560852,8.49185309632967
3.90689059560852,8.02236781302845
NA,NA
4.90689059560852,3.8073549220576
NA,NA
5.32192809488736,8.29920801838728
4.90689059560852,5.90689059560852
4.32192809488736,7.71424551766612
4.90689059560852,7.90689059560852
NA,NA
NA,NA
5.93073733756289,7.90689059560852
4.32192809488736,8.90689059560852
4.90689059560852,7.49185309632967
5.90689059560852,7.90689059560852
3.32192809488736,5.90689059560852
4.90689059560852,6.49185309632967
NA,NA
NA,NA
NA,NA
3.32192809488736,7.71424551766612
NA,NA
4.90689059560852,5.90689059560852
5.49185309632967,6.90689059560852
NA,NA
NA,NA
6.49185309632967,7.90689059560852
NA,NA
4.90689059560852,7.71424551766612
NA,NA
4.90689059560852,7.90689059560852
5.90689059560852,4.90689059560852
4.32192809488736,8.90689059560852
NA,NA
NA,NA
NA,NA
3.32192809488736,7.22881869049588
4.90689059560852,5.90689059560852
8.25266543245025,7.49185309632967
4.90689059560852,5.90689059560852
NA,NA
4.90689059560852,4.90689059560852
8.71424551766612,6.90689059560852
NA,NA
NA,NA
5.49185309632967,4.90689059560852
NA,NA
4.32192809488736,8.90689059560852
6.90689059560852,5.90689059560852
6.02236781302845,6.12928301694497
3.32192809488736,7.71424551766612
3.90689059560852,7.71424551766612
NA,NA
NA,NA
NA,NA
NA,NA
4.90689059560852,5.90689059560852
NA,NA
7.22881869049588,6.49185309632967
NA,NA
NA,NA
4.90689059560852,6.90689059560852
4.32192809488736,5.64385618977472
3.32192809488736,7.22881869049588
NA,NA
NA,NA
NA,NA
4.90689059560852,8.90689059560852
3.90689059560852,6.90689059560852
3.32192809488736,6.49185309632967
NA,NA
3.90689059560852,6.90689059560852
7.22881869049588,7.22881869049588
NA,NA
3.90689059560852,5.90689059560852
3.32192809488736,5.90689059560852
3.90689059560852,5.49185309632967
NA,NA
NA,NA
5.49185309632967,6.90689059560852
NA,NA
2.32192809488736,7.90689059560852
4.90689059560852,7.90689059560852
3.90689059560852,8.90689059560852
5.32192809488736,6.49185309632967
NA,NA
NA,NA
NA,NA
NA,NA
5.32192809488736,8.90689059560852
3.32192809488736,4.90689059560852
NA,NA
NA,NA
3.32192809488736,3.32192809488736
NA,NA
NA,NA
NA,NA
NA,NA
4.32192809488736,6.49185309632967
5.64385618977472,6.49185309632967
4.08746284125034,6.49185309632967
4.90689059560852,8.02236781302845
4.90689059560852,8.22881869049588
NA,NA
NA,NA
2.32192809488736,7.22881869049588
2.32192809488736,7.22881869049588
NA,NA
4.32192809488736,4.90689059560852
5.32192809488736,8.22881869049588
4.90689059560852,8.22881869049588
4.90689059560852,4.90689059560852
4.90689059560852,6.49185309632967
NA,NA
4.90689059560852,6.49185309632967
4.90689059560852,5.90689059560852
3.32192809488736,5.90689059560852
4.90689059560852,8.49185309632967
3.32192809488736,7.45121111183233
4.32192809488736,7.90689059560852
